Username,rows,changed,unique_rooms,change_rate
CyndiC,146,67,41,0.4589
ChorumPMS,109,106,44,0.9725
Administrator,109,0,44,0.0
NachelleW,68,34,24,0.5
BethanyP,33,10,22,0.303
TammyW,33,8,23,0.2424
CameronS,30,30,21,1.0
MasonR,25,11,17,0.44
DixieC,24,24,19,1.0
CarterJ,23,22,21,0.9565
KayleeT,19,19,16,1.0
FelicityA,15,15,12,1.0
KyraC,11,11,10,1.0
EmeryR,10,10,9,1.0
JesseR,9,9,9,1.0
BenW,7,7,7,1.0
JustinM,6,0,5,0.0
MckenzieS,3,3,3,1.0
ChiaraM,3,2,2,0.6667
HelerP,3,2,3,0.6667
RyleeC,2,2,2,1.0
TylerE,2,1,2,0.5
SydneyA,2,0,2,0.0
